,trial,n,r,order,SNR,mode,alpha,sampling,tolerance,time,rel_error,revealed,post_als_rel_error
74,4,50,8,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.735456233844161,0.0062486258391453,0.17824,0.0394984851125943
75,5,50,8,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.5372131634503603,0.0026861570394945,0.15424,0.0351679923768981
76,6,50,8,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.6323318844661117,0.0054120948445644,0.16624,0.0294281356466496
77,7,50,8,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.948845773003996,0.0115572600396931,0.20824,0.0286217155842704
78,8,50,8,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.662478644400835,0.0059920744763801,0.17224,0.0334687774793841
79,9,50,8,3,inf,seq,1.0,"[0.3, 0.1]",0.001,1.7240246525034308,0.0094714191873912,0.17824,0.0508218552462362
80,0,50,4,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.189552079886198,0.0053146963553544,0.12728,0.031286164336992
81,1,50,4,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.0948447417467833,0.0036186110773191,0.11928,0.0374168718265638
82,2,50,4,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.093307575210929,0.004644416163813,0.11928,0.0367893735298733
83,3,50,4,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.0940698785707357,0.0024263706364555,0.11928,0.0335496369895666
84,4,50,4,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.0908349473029375,0.0025608011668994,0.11928,0.0308120785023044
85,5,50,4,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.0927382176741958,0.0023720662838363,0.11928,0.0661207891728224
86,6,50,4,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.0453544445335865,0.0013735892830641,0.11528,0.0380882524168421
87,7,50,4,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.0919667035341265,0.005410913147639,0.11928,0.0330904721459179
88,8,50,4,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.0938026402145624,0.0029981330873213,0.11928,0.0338199612915051
89,9,50,4,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.0942809460684657,0.0029359859399353,0.11928,0.0400444908162605
90,0,50,8,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.5733592435717585,0.0119421597444583,0.14456,0.0383977131738225
91,1,50,8,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.5790212638676169,0.0101025580331454,0.14456,0.0394748517025626
92,2,50,8,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.6855944888666272,0.0173287933642055,0.15256,0.0320242209634383
93,3,50,8,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.8580844718962908,0.0137567639561661,0.16456,0.0464241223909965
94,4,50,8,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.498780664987862,0.0126249926948291,0.14056,0.0453975528744833
95,5,50,8,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.6309500196948647,0.0138540103239248,0.14856,0.03546436707531
96,6,50,8,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.994314122013748,0.0228974270048738,0.17656,0.0316405386245318
97,7,50,8,3,inf,seq,1.0,"[0.2, 0.1]",0.001,2.057623134925961,0.0268320816646854,0.18456,0.0388069175300186
98,8,50,8,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.7032816214486957,0.0120533471743152,0.15256,0.0491374926355326
99,9,50,8,3,inf,seq,1.0,"[0.2, 0.1]",0.001,1.7665571430698035,0.0193149790375119,0.15656,0.042450716897471
100,0,50,6,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.2553169690072536,0.0037230778279955,0.19672,0.0449098897000695
101,1,50,6,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.2235095668584108,0.001686649864522,0.19672,0.039148026958433
102,2,50,6,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.24613456428051,0.0028840600605248,0.19672,0.0422709959233476
103,3,50,6,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.2342351377010343,0.0034519892119114,0.19672,0.0435627272910372
