,Unnamed: 0,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
113,113,3,50,8,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2610587769959238,True,False,0.0005626621264172,4590,7790,0.06232,9.917582868929932e-05,0.1658976719571245
114,114,4,50,8,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2582903829970746,True,False,0.000175755846692,4580,7780,0.06224,9.64453076910344e-05,0.155124484947242
115,115,5,50,8,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2653626069950405,True,False,0.0005929761179365,4580,7780,0.06224,0.0002664493912226,0.161978999283285
116,116,6,50,8,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2602981620002538,True,False,0.0003049919835213,4580,7780,0.06224,2.804259779262436e-05,0.1520852216739983
117,117,7,50,8,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2587013890006346,True,False,0.0016761425867323,4580,7780,0.06224,0.0002596432496711,0.1472848224686248
118,118,8,50,8,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2637704429944278,True,False,0.0356334231102366,4580,7780,0.06224,0.0079571537572191,0.1607262914868109
119,119,9,50,8,3,50.0,deli,2,1.0,0.5,8.0,0.7,0.2563914910060703,True,False,9.384001466484828e-05,4580,7780,0.06224,1.574014546683454e-05,0.153434524383918
130,130,0,50,8,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2648405120053212,True,False,1.919909419738624e-05,4580,7780,0.06224,3.2683537387966493e-06,0.1512931667680784
131,131,1,50,8,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2224055290062097,True,False,5.457555945818404e-05,4580,7780,0.06224,1.8957473776052605e-05,0.1549259014432523
132,132,2,50,8,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.1768685429997276,True,False,1.3543054137705914e-05,4580,7780,0.06224,1.5946545199984378e-06,0.1375967489769527
133,133,3,50,8,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.2155734580010175,True,False,0.00013039853736,4580,7780,0.06224,1.322864811435339e-05,0.1602885376014395
134,134,4,50,8,3,60.0,deli,2,1.0,0.5,8.0,0.7,0.1695822759938892,True,False,8.24875228719589e-06,4580,7780,0.06224,1.409307782506706e-06,0.1651358768848718
