,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
342,2,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,418.1968612652272,False,False,0.1472672143184025,1000,17986,0.00017986,0.0399310035056947,0.1134030006448271
343,3,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,373.5270167402923,False,False,1.363363303548121,1000,17989,0.00017989,0.0575309541472216,0.1134983473805644
344,4,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,546.4530464112759,False,False,0.1218445651957691,1000,17981,0.00017981,0.0575800599678266,0.1135373002450827
345,5,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,464.0496223941445,False,False,0.8389422045699392,1000,17986,0.00017986,0.07058294342546,0.1171277884188347
346,6,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,323.7665570154786,False,False,0.419278115141203,1000,17979,0.00017979,0.0712826994181107,0.1223852394677122
347,7,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,468.9395726062357,False,False,0.2168046841641133,1000,17986,0.00017986,0.1282099278942298,0.1250694954705445
348,8,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,483.77602217160165,False,False,1.048399845380041,1000,17985,0.00017985,0.0583810911956766,0.1229063774188991
349,9,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,420.51911034062505,False,False,0.4747301642428827,1000,17983,0.00017983,0.0680670350533375,0.1236175497854905
350,0,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,488.10667519271374,True,False,0.2861254950522939,1000,17905,0.00017905,0.0391668339438016,0.1183759213278898
351,1,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,480.0190851558,True,False,0.2951623732379033,1000,17902,0.00017902,0.0649143954405269,0.1149608966136962
352,2,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,553.9748753029853,True,False,0.4982625999271999,1000,17898,0.00017898,0.0692923545100219,0.128367007056387
353,3,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,603.0324537772685,True,False,0.173667734139056,1000,17904,0.00017904,0.0492048511880492,0.1178178912479295
354,4,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,388.8428424745798,True,False,0.2628985932950464,1000,17905,0.00017905,0.0498669396725232,0.1229371325929667
355,5,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,698.3818471562117,True,False,0.1331129914584979,1000,17903,0.00017903,0.0370542474072344,0.1187820250629399
356,6,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,603.9182580783963,True,False,0.2900355347958748,1000,17901,0.00017901,0.060480207100844,0.1147593376949431
357,7,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,515.8437200896442,True,False,0.4838802241125181,1000,17898,0.00017898,0.059468453274599,0.1154180650070123
358,8,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,714.8849939797074,True,False,0.3971915529006637,1000,17901,0.00017901,0.0588951456843934,0.1180827779440262
359,9,100,10,4,inf,deli,2,2.0,0.5,8.0,0.1,639.6875150818378,True,False,0.2401593713724167,1000,17901,0.00017901,0.0421999723768464,0.1123726267770845
360,0,100,15,4,inf,deli,2,2.0,0.5,8.0,0.6,429.8075446709991,True,False,1.0772357812875608,6000,35728,0.00035728,0.0139000519540031,0.1255519857379828
361,1,100,15,4,inf,deli,2,2.0,0.5,8.0,0.6,427.6462910957634,True,False,0.0331975479020662,6000,35743,0.00035743,0.0072102564378684,0.1194526941370542
362,2,100,15,4,inf,deli,2,2.0,0.5,8.0,0.6,431.27727077528834,True,False,0.0222489798009784,6000,35737,0.00035737,0.0078695662478437,0.119993949467656
363,3,100,15,4,inf,deli,2,2.0,0.5,8.0,0.6,433.76557820662856,True,False,0.0063340032023582,6000,35740,0.0003574,0.001794360909345,0.1159686251399082
364,4,100,15,4,inf,deli,2,2.0,0.5,8.0,0.6,427.9782836139202,True,False,0.0372178300801107,6000,35745,0.00035745,0.0078320708018965,0.1258458473890938
365,5,100,15,4,inf,deli,2,2.0,0.5,8.0,0.6,431.48049169406295,True,False,0.0262366991367763,6000,35733,0.00035733,0.0064779960303046,0.1242959878568917
366,6,100,15,4,inf,deli,2,2.0,0.5,8.0,0.6,431.75235748663545,True,False,0.0039759345533764,6000,35729,0.00035729,0.0022650345180673,0.1237801804225787
367,7,100,15,4,inf,deli,2,2.0,0.5,8.0,0.6,430.4258897230029,True,False,0.005236339603246,6000,35740,0.0003574,0.0018328649307108,0.1180178723998532
368,8,100,15,4,inf,deli,2,2.0,0.5,8.0,0.6,430.11428513750434,True,False,0.007592252656129,6000,35743,0.00035743,0.0015754479195872,0.1138538431410472
